timestamp,omega,khra_amp,gixx_amp,coherence,asymmetry,vorticity_mean,gpu_temp_c,gpu_power_w,cycle
2026-03-27T08:12:11.975004,0.8,0.05,0.006,0.7392,12.4421,0.03346,57,289.5,177980
2026-03-27T08:12:14.986018,0.8,0.05,0.008,0.74,12.3401,0.02534,57,293.5,178400
2026-03-27T08:12:18.010377,0.8,0.05,0.01,0.7389,12.4899,0.02524,57,288.1,178820
2026-03-27T08:12:21.022525,0.8,0.05,0.012,0.7393,12.4278,0.033517,60,295.3,179240
2026-03-27T08:12:24.040180,0.9,0.01,0.004,0.7401,12.3403,0.029629,57,281.4,179640
2026-03-27T08:12:27.148639,0.9,0.01,0.006,0.7388,12.4937,0.022813,57,282.6,180060
2026-03-27T08:12:30.164237,0.9,0.01,0.008,0.7379,12.5967,0.029709,56,280.7,180470
2026-03-27T08:12:33.168873,0.9,0.01,0.01,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:36.172858,0.9,0.01,0.012,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:39.176426,0.9,0.02,0.004,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:42.180041,0.9,0.02,0.006,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:45.185052,0.9,0.02,0.008,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:48.188457,0.9,0.02,0.01,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:51.192084,0.9,0.02,0.012,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:54.195421,0.9,0.03,0.004,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:12:57.292807,0.9,0.03,0.006,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:00.296469,0.9,0.03,0.008,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:03.299905,0.9,0.03,0.01,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:06.303262,0.9,0.03,0.012,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:09.306388,0.9,0.04,0.004,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:12.309694,0.9,0.04,0.006,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:15.312797,0.9,0.04,0.008,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:18.316589,0.9,0.04,0.01,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:21.321627,0.9,0.04,0.012,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:24.324894,0.9,0.05,0.004,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:27.400863,0.9,0.05,0.006,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:30.404331,0.9,0.05,0.008,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:33.407521,0.9,0.05,0.01,0.7387,12.4946,0.030885,57,284.9,180600
2026-03-27T08:13:36.423084,0.9,0.05,0.012,0.7397,12.3857,0.029733,57,283.3,180770
2026-03-27T08:13:39.427786,1.0,0.01,0.004,0.7393,12.4361,0.022951,57,287.8,181180
2026-03-27T08:13:42.450048,1.0,0.01,0.006,0.7379,12.6181,0.029509,51,197.6,181600
2026-03-27T08:13:45.478636,1.0,0.01,0.008,0.7393,12.4413,0.031262,59,293.4,182020
2026-03-27T08:13:48.501121,1.0,0.01,0.01,0.7389,12.4655,0.022783,56,278.0,182440
2026-03-27T08:13:51.519198,1.0,0.01,0.012,0.7379,12.6094,0.030319,57,281.8,182860
2026-03-27T08:13:54.555571,1.0,0.02,0.004,0.7396,12.4114,0.030548,57,285.4,183280
2026-03-27T08:13:57.635063,1.0,0.02,0.006,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:00.638475,1.0,0.02,0.008,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:03.641670,1.0,0.02,0.01,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:06.645121,1.0,0.02,0.012,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:09.648274,1.0,0.03,0.004,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:12.651328,1.0,0.03,0.006,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:15.654624,1.0,0.03,0.008,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:18.658048,1.0,0.03,0.01,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:21.661342,1.0,0.03,0.012,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:24.664539,1.0,0.04,0.004,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:27.741079,1.0,0.04,0.006,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:30.744698,1.0,0.04,0.008,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:33.748231,1.0,0.04,0.01,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:36.751551,1.0,0.04,0.012,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:39.755506,1.0,0.05,0.004,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:42.758862,1.0,0.05,0.006,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:45.762190,1.0,0.05,0.008,0.738,12.5937,0.026697,56,284.4,183600
2026-03-27T08:14:48.810967,1.0,0.05,0.01,0.739,12.4786,0.032245,56,286.0,183900
2026-03-27T08:14:51.827962,1.0,0.05,0.012,0.7393,12.4345,0.02304,59,288.4,184320
2026-03-27T08:14:54.837669,1.1,0.01,0.004,0.7379,12.6082,0.02912,57,277.7,184740
2026-03-27T08:14:57.933293,1.1,0.01,0.006,0.7393,12.452,0.031656,56,275.0,185160
2026-03-27T08:15:00.987825,1.1,0.01,0.008,0.7391,12.4589,0.022779,56,270.7,185580
2026-03-27T08:15:04.027465,1.1,0.01,0.01,0.7382,12.5811,0.027176,57,277.0,185990
2026-03-27T08:15:07.065412,1.1,0.01,0.012,0.7387,12.4985,0.032712,57,276.0,186410
2026-03-27T08:15:10.069687,1.1,0.02,0.004,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:13.073052,1.1,0.02,0.006,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:16.076544,1.1,0.02,0.008,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:19.079702,1.1,0.02,0.01,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:22.082822,1.1,0.02,0.012,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:25.086450,1.1,0.03,0.004,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:28.169841,1.1,0.03,0.006,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:31.173743,1.1,0.03,0.008,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:34.176772,1.1,0.03,0.01,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:37.180403,1.1,0.03,0.012,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:40.183905,1.1,0.04,0.004,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:43.187485,1.1,0.04,0.006,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:46.190900,1.1,0.04,0.008,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:49.194373,1.1,0.04,0.01,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:52.197880,1.1,0.04,0.012,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:55.201086,1.1,0.05,0.004,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:15:58.274848,1.1,0.05,0.006,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:16:01.277888,1.1,0.05,0.008,0.7391,12.4651,0.022978,56,277.8,186600
2026-03-27T08:16:04.281020,1.1,0.05,0.01,0.7388,12.5009,0.025721,56,281.9,186990
2026-03-27T08:16:07.318465,1.1,0.05,0.012,0.7393,12.43,0.033352,57,282.9,187410
2026-03-27T08:16:10.331817,1.2,0.01,0.004,0.7399,12.3524,0.024267,50,104.9,187830
2026-03-27T08:16:13.354855,1.2,0.01,0.006,0.7388,12.4896,0.026616,49,57.8,188250
2026-03-27T08:16:16.376414,1.2,0.01,0.008,0.7395,12.4171,0.03309,48,49.5,188670
2026-03-27T08:16:19.380709,1.2,0.01,0.01,0.7397,12.377,0.023645,47,52.2,189090
2026-03-27T08:16:22.384960,1.2,0.01,0.012,0.7389,12.488,0.027549,47,58.9,189510
2026-03-27T08:16:25.388901,1.2,0.02,0.004,0.7393,12.4348,0.022888,47,57.8,189600
2026-03-27T08:16:28.488481,1.2,0.02,0.006,0.7393,12.4348,0.022888,47,57.8,189600
