sweep,parameter,value,coh_mean,coh_min,coh_max,asym_mean,vort_mean,vel_var_mean,stress_xx_mean,stress_yy_mean,stress_xy_mean,n_samples
1f,omega,1.975,0.685535,0.683400,0.687200,30.663033,0.028366,0.002423,-0.000506,0.000527,-0.000204,501
1f,omega,1.976,0.685359,0.683100,0.687200,30.716504,0.028827,0.002439,-0.000501,0.000535,-0.000216,501
1f,omega,1.976,0.685438,0.683200,0.687100,30.702107,0.028529,0.002429,-0.000505,0.000529,-0.000208,501
1f,omega,1.977,0.685223,0.683000,0.687100,30.760625,0.029047,0.002447,-0.000499,0.000540,-0.000220,501
1f,omega,1.977,0.685322,0.683000,0.686900,30.742559,0.028692,0.002436,-0.000506,0.000531,-0.000213,501
1f,omega,1.978,0.685098,0.682900,0.687000,30.804855,0.029267,0.002455,-0.000495,0.000545,-0.000223,501
1f,omega,1.978,0.685209,0.682900,0.686900,30.783981,0.028862,0.002442,-0.000505,0.000535,-0.000218,501
1f,omega,1.979,0.684985,0.682600,0.686900,30.846777,0.029486,0.002464,-0.000495,0.000545,-0.000224,501
1f,omega,1.979,0.685106,0.682700,0.686900,30.824337,0.029044,0.002449,-0.000505,0.000536,-0.000221,501
1f,omega,1.98,0.684879,0.681900,0.687000,30.886746,0.029713,0.002474,-0.000496,0.000549,-0.000227,501
1f,omega,1.98,0.685000,0.682400,0.687000,30.863728,0.029238,0.002457,-0.000504,0.000542,-0.000228,501
1f,omega,1.981,0.684756,0.681600,0.687100,30.929462,0.029942,0.002484,-0.000497,0.000551,-0.000230,501
1f,omega,1.981,0.684907,0.682100,0.687100,30.900995,0.029429,0.002465,-0.000502,0.000544,-0.000234,501
1f,omega,1.982,0.684625,0.681700,0.687000,30.974340,0.030178,0.002494,-0.000497,0.000555,-0.000231,501
1f,omega,1.982,0.684791,0.682100,0.686900,30.942746,0.029612,0.002474,-0.000497,0.000549,-0.000235,501
1f,omega,1.983,0.684529,0.681600,0.687100,31.013385,0.030415,0.002506,-0.000501,0.000560,-0.000238,501
